Time,Avg Server Response (ms)
6/13/2012 12:00,569
6/13/2012 13:00,664
6/13/2012 14:00,528
6/13/2012 15:00,553
6/13/2012 16:00,591
6/13/2012 17:00,666
6/13/2012 18:00,588
6/13/2012 19:00,541
6/13/2012 20:00,517
6/13/2012 21:00,493
6/13/2012 22:00,492
6/13/2012 23:00,478
6/14/2012 0:00,480
6/14/2012 1:00,460
6/14/2012 2:00,469
6/14/2012 3:00,476
6/14/2012 4:00,486
6/14/2012 5:00,508
6/14/2012 6:00,538
6/14/2012 7:00,549
6/14/2012 8:00,542
6/14/2012 9:00,559
6/14/2012 10:00,589
6/14/2012 11:00,676
6/14/2012 12:00,696
6/14/2012 13:00,659
6/14/2012 14:00,564
6/14/2012 15:00,663
6/14/2012 16:00,659
6/14/2012 17:00,557
6/14/2012 18:00,558
6/14/2012 19:00,542
6/14/2012 20:00,529
6/14/2012 21:00,493
6/14/2012 22:00,502
6/14/2012 23:00,478
6/15/2012 0:00,471
6/15/2012 1:00,485
6/15/2012 2:00,484
6/15/2012 3:00,491
6/15/2012 4:00,499
6/15/2012 5:00,502
6/15/2012 6:00,526
6/15/2012 7:00,546
6/15/2012 8:00,559
6/15/2012 9:00,548
6/15/2012 10:00,553
6/15/2012 11:00,558
6/15/2012 12:00,554
6/15/2012 13:00,539
6/15/2012 14:00,538
6/15/2012 15:00,523
6/15/2012 16:00,537
6/15/2012 17:00,521
6/15/2012 18:00,517
6/15/2012 19:00,520
6/15/2012 20:00,500
6/15/2012 21:00,498
6/15/2012 22:00,485
6/15/2012 23:00,474
6/16/2012 0:00,481
6/16/2012 1:00,473
6/16/2012 2:00,475
6/16/2012 3:00,496
6/16/2012 4:00,499
6/16/2012 5:00,509
6/16/2012 6:00,520
6/16/2012 7:00,521
6/16/2012 8:00,536
6/16/2012 9:00,542
6/16/2012 10:00,524
6/16/2012 11:00,538
6/16/2012 12:00,520
6/16/2012 13:00,520
6/16/2012 14:00,523
6/16/2012 15:00,520
6/16/2012 16:00,523
6/16/2012 17:00,526
6/16/2012 18:00,543
6/16/2012 19:00,520
6/16/2012 20:00,506
6/16/2012 21:00,500
6/16/2012 22:00,497
6/16/2012 23:00,489
6/17/2012 0:00,490
6/17/2012 1:00,462
6/17/2012 2:00,464
6/17/2012 3:00,477
6/17/2012 4:00,487
6/17/2012 5:00,491
6/17/2012 6:00,518
6/17/2012 7:00,525
6/17/2012 8:00,547
6/17/2012 9:00,528
6/17/2012 10:00,540
6/17/2012 11:00,527
6/17/2012 12:00,545
6/17/2012 13:00,533
6/17/2012 14:00,525
6/17/2012 15:00,522
6/17/2012 16:00,519
6/17/2012 17:00,544
6/17/2012 18:00,545
6/17/2012 19:00,528
6/17/2012 20:00,516
6/17/2012 21:00,488
6/17/2012 22:00,480
6/17/2012 23:00,482
6/18/2012 0:00,464
6/18/2012 1:00,462
6/18/2012 2:00,460
6/18/2012 3:00,475
6/18/2012 4:00,478
6/18/2012 5:00,467
6/18/2012 6:00,523
6/18/2012 7:00,535
6/18/2012 8:00,561
6/18/2012 9:00,562
6/18/2012 10:00,558
6/18/2012 11:00,552
6/18/2012 12:00,566
6/18/2012 13:00,576
6/18/2012 14:00,569
6/18/2012 15:00,568
6/18/2012 16:00,559
6/18/2012 17:00,576
6/18/2012 18:00,563
6/18/2012 19:00,553
6/18/2012 20:00,532
6/18/2012 21:00,510
6/18/2012 22:00,517
6/18/2012 23:00,510
6/19/2012 0:00,489
6/19/2012 1:00,487
6/19/2012 2:00,469
6/19/2012 3:00,480
6/19/2012 4:00,500
6/19/2012 5:00,512
6/19/2012 6:00,531
6/19/2012 7:00,568
6/19/2012 8:00,540
6/19/2012 9:00,554
6/19/2012 10:00,567
6/19/2012 11:00,579
6/19/2012 12:00,564
6/19/2012 13:00,576
6/19/2012 14:00,556
6/19/2012 15:00,562
6/19/2012 16:00,558
6/19/2012 17:00,554
6/19/2012 18:00,570
6/19/2012 19:00,537
6/19/2012 20:00,494
6/19/2012 21:00,495
6/19/2012 22:00,477
6/19/2012 23:00,479
6/20/2012 0:00,476
6/20/2012 1:00,470
6/20/2012 2:00,466
6/20/2012 3:00,482
6/20/2012 4:00,481
6/20/2012 5:00,515
6/20/2012 6:00,541
6/20/2012 7:00,546
6/20/2012 8:00,545
6/20/2012 9:00,540
6/20/2012 10:00,561
6/20/2012 11:00,583
6/20/2012 12:00,572
6/20/2012 13:00,577
6/20/2012 14:00,557
6/20/2012 15:00,551
6/20/2012 16:00,547
6/20/2012 17:00,571
6/20/2012 18:00,554
6/20/2012 19:00,555
6/20/2012 20:00,532
6/20/2012 21:00,513
6/20/2012 22:00,511
6/20/2012 23:00,507
6/21/2012 0:00,507
6/21/2012 1:00,505
6/21/2012 2:00,514
6/21/2012 3:00,511
6/21/2012 4:00,525
6/21/2012 5:00,535
6/21/2012 6:00,576
6/21/2012 7:00,561
6/21/2012 8:00,603
6/21/2012 9:00,585
6/21/2012 10:00,598
6/21/2012 11:00,582
6/21/2012 12:00,596
6/21/2012 13:00,568
6/21/2012 14:00,581
6/21/2012 15:00,568
6/21/2012 16:00,568
6/21/2012 17:00,568
6/21/2012 18:00,593
6/21/2012 19:00,577
6/21/2012 20:00,550
6/21/2012 21:00,524
6/21/2012 22:00,513
6/21/2012 23:00,517
6/22/2012 0:00,508
6/22/2012 1:00,495
6/22/2012 2:00,486
6/22/2012 3:00,490
6/22/2012 4:00,516
6/22/2012 5:00,528
6/22/2012 6:00,545
6/22/2012 7:00,564
6/22/2012 8:00,569
6/22/2012 9:00,556
6/22/2012 10:00,543
6/22/2012 11:00,556
6/22/2012 12:00,540
6/22/2012 13:00,571
6/22/2012 14:00,557
6/22/2012 15:00,534
6/22/2012 16:00,547
6/22/2012 17:00,536
6/22/2012 18:00,558
6/22/2012 19:00,537
6/22/2012 20:00,535
6/22/2012 21:00,517
6/22/2012 22:00,500
6/22/2012 23:00,510
6/23/2012 0:00,498
6/23/2012 1:00,497
6/23/2012 2:00,506
6/23/2012 3:00,509
6/23/2012 4:00,515
6/23/2012 5:00,534
6/23/2012 6:00,517
6/23/2012 7:00,535
6/23/2012 8:00,525
6/23/2012 9:00,533
6/23/2012 10:00,532
6/23/2012 11:00,541
6/23/2012 12:00,547
6/23/2012 13:00,516
6/23/2012 14:00,518
6/23/2012 15:00,547
6/23/2012 16:00,529
6/23/2012 17:00,522
6/23/2012 18:00,559
6/23/2012 19:00,550
6/23/2012 20:00,540
6/23/2012 21:00,533
6/23/2012 22:00,516
6/23/2012 23:00,508
6/24/2012 0:00,488
6/24/2012 1:00,493
6/24/2012 2:00,500
6/24/2012 3:00,510
6/24/2012 4:00,516
6/24/2012 5:00,506
6/24/2012 6:00,519
6/24/2012 7:00,523
6/24/2012 8:00,555
6/24/2012 9:00,558
6/24/2012 10:00,542
6/24/2012 11:00,549
6/24/2012 12:00,545
6/24/2012 13:00,542
6/24/2012 14:00,556
6/24/2012 15:00,544
6/24/2012 16:00,562
6/24/2012 17:00,567
6/24/2012 18:00,576
6/24/2012 19:00,551
6/24/2012 20:00,541
6/24/2012 21:00,525
6/24/2012 22:00,522
6/24/2012 23:00,502
6/25/2012 0:00,495
6/25/2012 1:00,504
6/25/2012 2:00,520
6/25/2012 3:00,515
6/25/2012 4:00,517
6/25/2012 5:00,536
6/25/2012 6:00,557
6/25/2012 7:00,559
6/25/2012 8:00,592
6/25/2012 9:00,584
6/25/2012 10:00,596
6/25/2012 11:00,589
6/25/2012 12:00,594
6/25/2012 13:00,594
6/25/2012 14:00,594
6/25/2012 15:00,570
6/25/2012 16:00,569
6/25/2012 17:00,586
6/25/2012 18:00,583
6/25/2012 19:00,569
6/25/2012 20:00,551
6/25/2012 21:00,527
6/25/2012 22:00,506
6/25/2012 23:00,504
6/26/2012 0:00,500
6/26/2012 1:00,490
6/26/2012 2:00,496
6/26/2012 3:00,509
6/26/2012 4:00,519
6/26/2012 5:00,524
6/26/2012 6:00,551
6/26/2012 7:00,573
6/26/2012 8:00,577
6/26/2012 9:00,574
6/26/2012 10:00,578
6/26/2012 11:00,565
6/26/2012 12:00,580
6/26/2012 13:00,582
6/26/2012 14:00,582
6/26/2012 15:00,575
6/26/2012 16:00,581
6/26/2012 17:00,588
6/26/2012 18:00,563
6/26/2012 19:00,549
6/26/2012 20:00,521
6/26/2012 21:00,503
6/26/2012 22:00,497
6/26/2012 23:00,499
6/27/2012 0:00,497
6/27/2012 1:00,488
6/27/2012 2:00,490
6/27/2012 3:00,497
6/27/2012 4:00,504
6/27/2012 5:00,524
6/27/2012 6:00,560
6/27/2012 7:00,561
6/27/2012 8:00,563
6/27/2012 9:00,558
6/27/2012 10:00,552
6/27/2012 11:00,561
6/27/2012 12:00,552
6/27/2012 13:00,549
6/27/2012 14:00,535
6/27/2012 15:00,553
6/27/2012 16:00,550
6/27/2012 17:00,552
6/27/2012 18:00,550
6/27/2012 19:00,544
6/27/2012 20:00,529
6/27/2012 21:00,515
6/27/2012 22:00,502
6/27/2012 23:00,502
6/28/2012 0:00,478
6/28/2012 1:00,486
6/28/2012 2:00,494
6/28/2012 3:00,485
6/28/2012 4:00,505
6/28/2012 5:00,516
6/28/2012 6:00,529
6/28/2012 7:00,558
6/28/2012 8:00,569
6/28/2012 9:00,556
6/28/2012 10:00,564
6/28/2012 11:00,546
6/28/2012 12:00,573
6/28/2012 13:00,558
6/28/2012 14:00,554
6/28/2012 15:00,567
6/28/2012 16:00,555
6/28/2012 17:00,569
6/28/2012 18:00,548
6/28/2012 19:00,555
6/28/2012 20:00,529
6/28/2012 21:00,515
6/28/2012 22:00,495
6/28/2012 23:00,495
6/29/2012 0:00,498
6/29/2012 1:00,487
6/29/2012 2:00,500
6/29/2012 3:00,498
6/29/2012 4:00,513
6/29/2012 5:00,533
6/29/2012 6:00,554
6/29/2012 7:00,566
6/29/2012 8:00,564
6/29/2012 9:00,569
6/29/2012 10:00,562
6/29/2012 11:00,557
6/29/2012 12:00,570
6/29/2012 13:00,562
6/29/2012 14:00,555
6/29/2012 15:00,553
6/29/2012 16:00,545
6/29/2012 17:00,535
6/29/2012 18:00,526
6/29/2012 19:00,541
6/29/2012 20:00,525
6/29/2012 21:00,505
6/29/2012 22:00,502
6/29/2012 23:00,489
6/30/2012 0:00,479
6/30/2012 1:00,484
6/30/2012 2:00,488
6/30/2012 3:00,490
6/30/2012 4:00,491
6/30/2012 5:00,500
6/30/2012 6:00,509
6/30/2012 7:00,525
6/30/2012 8:00,526
6/30/2012 9:00,526
6/30/2012 10:00,529
6/30/2012 11:00,527
6/30/2012 12:00,511
6/30/2012 13:00,515
6/30/2012 14:00,526
6/30/2012 15:00,526
6/30/2012 16:00,522
6/30/2012 17:00,530
6/30/2012 18:00,528
6/30/2012 19:00,525
6/30/2012 20:00,504
6/30/2012 21:00,504
6/30/2012 22:00,490
6/30/2012 23:00,485
7/1/2012 0:00,491
7/1/2012 1:00,480
7/1/2012 2:00,501
7/1/2012 3:00,490
7/1/2012 4:00,509
7/1/2012 5:00,505
7/1/2012 6:00,519
7/1/2012 7:00,530
7/1/2012 8:00,537
7/1/2012 9:00,536
7/1/2012 10:00,547
7/1/2012 11:00,547
7/1/2012 12:00,560
7/1/2012 13:00,549
7/1/2012 14:00,551
7/1/2012 15:00,546
7/1/2012 16:00,563
7/1/2012 17:00,553
7/1/2012 18:00,567
7/1/2012 19:00,543
7/1/2012 20:00,538
7/1/2012 21:00,521
7/1/2012 22:00,501
7/1/2012 23:00,498
7/2/2012 0:00,513
7/2/2012 1:00,499
7/2/2012 2:00,508
7/2/2012 3:00,502
7/2/2012 4:00,521
7/2/2012 5:00,529
7/2/2012 6:00,546
7/2/2012 7:00,556
7/2/2012 8:00,557
7/2/2012 9:00,576
7/2/2012 10:00,595
7/2/2012 11:00,592
7/2/2012 12:00,596
7/2/2012 13:00,580
7/2/2012 14:00,575
7/2/2012 15:00,595
7/2/2012 16:00,582
7/2/2012 17:00,592
7/2/2012 18:00,603
7/2/2012 19:00,586
7/2/2012 20:00,551
7/2/2012 21:00,535
7/2/2012 22:00,510
7/2/2012 23:00,496
7/3/2012 0:00,505
7/3/2012 1:00,509
7/3/2012 2:00,514
7/3/2012 3:00,514
7/3/2012 4:00,514
7/3/2012 5:00,519
7/3/2012 6:00,567
7/3/2012 7:00,569
7/3/2012 8:00,582
7/3/2012 9:00,580
7/3/2012 10:00,576
7/3/2012 11:00,592
7/3/2012 12:00,592
7/3/2012 13:00,576
7/3/2012 14:00,578
7/3/2012 15:00,578
7/3/2012 16:00,565
7/3/2012 17:00,574
7/3/2012 18:00,563
7/3/2012 19:00,572
7/3/2012 20:00,558
7/3/2012 21:00,539
7/3/2012 22:00,541
7/3/2012 23:00,502
7/4/2012 0:00,515
7/4/2012 1:00,501
7/4/2012 2:00,511
7/4/2012 3:00,526
7/4/2012 4:00,525
7/4/2012 5:00,538
7/4/2012 6:00,560
7/4/2012 7:00,557
7/4/2012 8:00,570
7/4/2012 9:00,574
7/4/2012 10:00,565
7/4/2012 11:00,573
7/4/2012 12:00,568
7/4/2012 13:00,558
7/4/2012 14:00,534
7/4/2012 15:00,543
7/4/2012 16:00,536
7/4/2012 17:00,564
7/4/2012 18:00,545
7/4/2012 19:00,525
7/4/2012 20:00,520
7/4/2012 21:00,499
7/4/2012 22:00,501
7/4/2012 23:00,502
7/5/2012 0:00,512
7/5/2012 1:00,519
7/5/2012 2:00,505
7/5/2012 3:00,495
7/5/2012 4:00,508
7/5/2012 5:00,527
7/5/2012 6:00,568
7/5/2012 7:00,581
7/5/2012 8:00,588
7/5/2012 9:00,600
7/5/2012 10:00,584
7/5/2012 11:00,591
7/5/2012 12:00,581
7/5/2012 13:00,588
7/5/2012 14:00,577
7/5/2012 15:00,575
7/5/2012 16:00,565
7/5/2012 17:00,561
7/5/2012 18:00,564
7/5/2012 19:00,570
7/5/2012 20:00,536
7/5/2012 21:00,532
7/5/2012 22:00,511
7/5/2012 23:00,509
7/6/2012 0:00,501
7/6/2012 1:00,504
7/6/2012 2:00,511
7/6/2012 3:00,513
7/6/2012 4:00,514
7/6/2012 5:00,531
7/6/2012 6:00,544
7/6/2012 7:00,551
7/6/2012 8:00,563
7/6/2012 9:00,565
7/6/2012 10:00,544
7/6/2012 11:00,564
7/6/2012 12:00,579
7/6/2012 13:00,562
7/6/2012 14:00,563
7/6/2012 15:00,544
7/6/2012 16:00,555
7/6/2012 17:00,558
7/6/2012 18:00,561
7/6/2012 19:00,565
7/6/2012 20:00,525
7/6/2012 21:00,526
7/6/2012 22:00,509
7/6/2012 23:00,505
7/7/2012 0:00,489
7/7/2012 1:00,503
7/7/2012 2:00,506
7/7/2012 3:00,505
7/7/2012 4:00,517
7/7/2012 5:00,509
7/7/2012 6:00,543
7/7/2012 7:00,544
7/7/2012 8:00,546
7/7/2012 9:00,542
7/7/2012 10:00,558
7/7/2012 11:00,555
7/7/2012 12:00,547
7/7/2012 13:00,544
7/7/2012 14:00,554
7/7/2012 15:00,549
7/7/2012 16:00,535
7/7/2012 17:00,543
7/7/2012 18:00,551
7/7/2012 19:00,549
7/7/2012 20:00,527
7/7/2012 21:00,527
7/7/2012 22:00,515
7/7/2012 23:00,509
7/8/2012 0:00,512
7/8/2012 1:00,516
7/8/2012 2:00,511
7/8/2012 3:00,510
7/8/2012 4:00,529
7/8/2012 5:00,509
7/8/2012 6:00,528
7/8/2012 7:00,526
7/8/2012 8:00,541
7/8/2012 9:00,553
7/8/2012 10:00,560
7/8/2012 11:00,561
7/8/2012 12:00,554
7/8/2012 13:00,565
7/8/2012 14:00,586
7/8/2012 15:00,558
7/8/2012 16:00,564
7/8/2012 17:00,582
7/8/2012 18:00,580
7/8/2012 19:00,562
7/8/2012 20:00,556
7/8/2012 21:00,515
7/8/2012 22:00,517
7/8/2012 23:00,510
7/9/2012 0:00,505
7/9/2012 1:00,499
7/9/2012 2:00,502
7/9/2012 3:00,509
7/9/2012 4:00,530
7/9/2012 5:00,528
7/9/2012 6:00,554
7/9/2012 7:00,582
7/9/2012 8:00,597
7/9/2012 9:00,590
7/9/2012 10:00,567
7/9/2012 11:00,567
7/9/2012 12:00,594
7/9/2012 13:00,554
7/9/2012 14:00,556
7/9/2012 15:00,558
7/9/2012 16:00,559
7/9/2012 17:00,564
7/9/2012 18:00,570
7/9/2012 19:00,560
7/9/2012 20:00,540
7/9/2012 21:00,514
7/9/2012 22:00,496
7/9/2012 23:00,501
